return_id,order_id,return_date,return_reason
R0000,O02237,2025-05-03,Defective
R0001,O01700,2024-10-08,Defective
R0002,O01451,2024-10-08,Late Delivery
R0003,O02759,2024-10-08,Defective
R0004,O00415,2025-06-08,No Longer Needed
R0005,O02110,2025-01-06,Late Delivery
R0006,O02845,2025-11-11,No Longer Needed
R0007,O00362,2025-01-03,Defective
R0008,O01002,2024-10-08,Defective
R0009,O02036,2024-10-08,Late Delivery
R0010,O01941,2024-10-08,Late Delivery
R0011,O01554,2024-08-12,Defective
R0012,O01931,2024-10-09,Late Delivery
R0013,O00016,2025-10-04,Defective
R0014,O01121,2024-07-12,No Longer Needed
R0015,O01974,2024-10-08,Defective
R0016,O02277,2024-10-08,Late Delivery
R0017,O01583,2025-08-02,Wrong Item
R0018,O02350,2025-01-07,Late Delivery
R0019,O00482,2024-10-08,Late Delivery
R0020,O00501,2024-10-08,Wrong Item
R0021,O01631,2024-10-08,Late Delivery
R0022,O02425,2024-08-05,Wrong Item
R0023,O01810,2024-09-09,No Longer Needed
R0024,O00753,2024-10-08,Wrong Item
R0025,O02631,2024-10-08,Wrong Item
R0026,O00590,2024-10-08,Late Delivery
R0027,O01591,2024-09-09,Wrong Item
R0028,O01410,2024-10-08,No Longer Needed
R0029,O00840,2024-10-08,Late Delivery
R0030,O02448,2024-10-08,Defective
R0031,O01884,2025-11-01,Late Delivery
R0032,O02396,2024-10-08,Wrong Item
R0033,O00046,2025-02-05,Late Delivery
R0034,O01619,2024-01-05,Wrong Item
R0035,O02071,2024-10-08,Defective
R0036,O02735,2024-03-10,Defective
R0037,O00743,2024-10-08,No Longer Needed
R0038,O02877,2025-07-01,No Longer Needed
R0039,O02943,2024-10-08,Wrong Item
R0040,O02323,2024-10-08,No Longer Needed
R0041,O00362,2024-10-08,No Longer Needed
R0042,O01849,2025-07-04,Defective
R0043,O01686,2024-10-08,Late Delivery
R0044,O00894,2024-10-08,Wrong Item
R0045,O00903,2024-10-08,Defective
R0046,O00134,2024-10-08,Defective
R0047,O01595,2025-10-08,Defective
R0048,O00695,2024-10-08,Wrong Item
R0049,O02339,2024-10-08,Defective
R0050,O00465,2024-10-08,No Longer Needed
R0051,O02942,2024-10-08,Late Delivery
R0052,O02325,2025-01-02,Wrong Item
R0053,O02995,2024-10-08,Defective
R0054,O00333,2024-10-08,Late Delivery
R0055,O00927,2024-05-10,Late Delivery
R0056,O01114,2025-04-10,Wrong Item
R0057,O00882,2024-10-08,No Longer Needed
R0058,O02727,2024-10-08,No Longer Needed
R0059,O01974,2025-08-09,Late Delivery
R0060,O02808,2024-05-08,Wrong Item
R0061,O02185,2024-10-08,Defective
R0062,O01152,2025-11-01,Defective
R0063,O02307,2024-10-08,Wrong Item
R0064,O00362,2024-10-08,Defective
R0065,O00291,2024-10-08,No Longer Needed
R0066,O02021,2024-10-08,Late Delivery
R0067,O00154,2025-03-01,Defective
R0068,O01028,2025-06-08,Defective
R0069,O00424,2025-04-01,No Longer Needed
R0070,O00042,2025-08-07,Wrong Item
R0071,O02368,2024-10-05,Defective
R0072,O00102,2024-10-08,Defective
R0073,O01276,2024-10-08,Late Delivery
R0074,O00158,2024-10-08,Late Delivery
R0075,O02169,2024-10-08,No Longer Needed
R0076,O01708,2024-02-08,Defective
R0077,O01655,2024-10-08,Defective
R0078,O00296,2024-10-08,Defective
R0079,O01009,2024-10-08,Wrong Item
R0080,O00591,2024-10-08,Defective
R0081,O00821,2025-09-10,Wrong Item
R0082,O02055,2024-10-08,Wrong Item
R0083,O01238,2024-10-08,Wrong Item
R0084,O00638,2024-11-07,Defective
R0085,O00858,2025-11-02,Wrong Item
R0086,O00808,2024-10-08,Defective
R0087,O01742,2025-06-04,Defective
R0088,O02848,2024-08-11,No Longer Needed
R0089,O02316,2025-07-11,Defective
R0090,O01989,2024-10-08,Defective
R0091,O00841,2024-10-08,No Longer Needed
R0092,O00240,2024-10-08,Defective
R0093,O01326,2024-10-08,No Longer Needed
R0094,O00405,2024-10-08,Defective
R0095,O02029,2025-03-10,Defective
R0096,O00832,2024-10-08,Late Delivery
R0097,O02889,2025-01-06,Defective
R0098,O02387,2024-10-08,Wrong Item
R0099,O00066,2024-10-08,Late Delivery
R0100,O01242,2024-10-08,No Longer Needed
R0101,O02740,2025-08-10,Defective
R0102,O00661,2024-10-08,Defective
R0103,O01185,2024-10-08,Defective
R0104,O00488,2024-02-05,Late Delivery
R0105,O02185,2024-10-08,No Longer Needed
R0106,O02588,2024-10-08,Wrong Item
R0107,O01298,2024-10-08,Late Delivery
R0108,O01984,2025-01-09,Defective
R0109,O02488,2024-10-08,Late Delivery
R0110,O01786,2024-10-08,No Longer Needed
R0111,O02089,2025-10-11,Wrong Item
R0112,O02010,2025-02-03,No Longer Needed
R0113,O01206,2025-12-02,No Longer Needed
R0114,O00768,2024-10-08,Defective
R0115,O00978,2025-03-03,Defective
R0116,O00153,2024-10-08,No Longer Needed
R0117,O01235,2024-10-08,Defective
R0118,O02693,2024-10-08,No Longer Needed
R0119,O00500,2024-07-08,Wrong Item
R0120,O00693,2024-10-08,Late Delivery
R0121,O02627,2024-10-08,Late Delivery
R0122,O00487,2024-07-10,Wrong Item
R0123,O01163,2025-08-11,Defective
R0124,O00311,2024-10-07,Late Delivery
R0125,O00337,2024-10-08,Wrong Item
R0126,O00892,2024-10-08,Wrong Item
R0127,O00210,2024-10-08,No Longer Needed
R0128,O02444,2025-07-09,No Longer Needed
R0129,O02711,2025-03-06,Late Delivery
R0130,O01591,2024-10-08,Defective
R0131,O01665,2024-10-08,Wrong Item
R0132,O01410,2024-10-08,Wrong Item
R0133,O00684,2024-10-08,Wrong Item
R0134,O00718,2025-06-02,No Longer Needed
R0135,O01823,2024-12-08,Wrong Item
R0136,O00307,2024-10-08,Defective
R0137,O00569,2025-07-04,Wrong Item
R0138,O01159,2025-04-08,No Longer Needed
R0139,O02951,2025-08-02,Defective
R0140,O02898,2024-10-08,No Longer Needed
R0141,O02391,2025-01-04,Wrong Item
R0142,O02132,2024-07-05,Wrong Item
R0143,O01744,2024-10-08,No Longer Needed
R0144,O02476,2024-10-08,Wrong Item
R0145,O02075,2025-06-12,Late Delivery
R0146,O00239,2025-01-03,Defective
R0147,O01512,2024-10-08,Defective
R0148,O02420,2025-10-02,Wrong Item
R0149,O01772,2025-10-07,No Longer Needed
R0150,O01424,2024-10-08,No Longer Needed
R0151,O00852,2024-10-08,Wrong Item
R0152,O01491,2024-10-08,Wrong Item
R0153,O00596,2025-03-06,Late Delivery
R0154,O01836,2024-05-08,Defective
R0155,O01866,2025-01-02,Late Delivery
R0156,O01596,2024-10-08,No Longer Needed
R0157,O00545,2024-10-08,Wrong Item
R0158,O01659,2025-11-11,Wrong Item
R0159,O00106,2025-10-03,Wrong Item
R0160,O01567,2024-10-08,Defective
R0161,O01951,2025-08-11,Defective
R0162,O02717,2024-05-05,Defective
R0163,O00339,2024-10-08,Wrong Item
R0164,O02678,2024-10-08,Wrong Item
R0165,O00455,2024-10-08,Late Delivery
R0166,O00020,2024-10-08,No Longer Needed
R0167,O02085,2025-05-01,No Longer Needed
R0168,O00737,2024-05-06,Wrong Item
R0169,O00165,2024-03-07,No Longer Needed
R0170,O00420,2025-06-01,Defective
R0171,O00014,2025-11-06,No Longer Needed
R0172,O01675,2024-10-09,Defective
R0173,O02753,2024-04-06,Wrong Item
R0174,O00410,2024-10-08,No Longer Needed
R0175,O00555,2025-06-05,Late Delivery
R0176,O00031,2024-10-08,No Longer Needed
R0177,O01669,2025-02-03,Late Delivery
R0178,O00787,2025-11-02,Defective
R0179,O00498,2024-10-08,Wrong Item
R0180,O02701,2025-02-06,Late Delivery
R0181,O00573,2024-02-06,Late Delivery
R0182,O00585,2024-10-08,Late Delivery
R0183,O00741,2025-02-04,Late Delivery
R0184,O02277,2024-10-08,Late Delivery
R0185,O01162,2024-10-08,Defective
R0186,O02195,2025-07-03,Wrong Item
R0187,O01929,2024-10-08,Wrong Item
R0188,O00637,2024-10-08,Late Delivery
R0189,O01466,2024-04-07,Wrong Item
R0190,O00130,2025-09-11,Defective
R0191,O01117,2024-10-08,Defective
R0192,O00159,2024-10-08,Wrong Item
R0193,O01852,2024-10-08,Defective
R0194,O00934,2025-09-09,Wrong Item
R0195,O00416,2024-10-08,Defective
R0196,O01008,2024-10-08,Wrong Item
R0197,O02732,2024-10-08,Defective
R0198,O01287,2024-02-05,Late Delivery
R0199,O01305,2024-10-08,No Longer Needed
