order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,total_amount,cost_price,profit,order_year,order_month
O00000,2025-01-31,C0125,P1086,Online,Online,2,80.63,0.05,153.2,69.87,13.46,2025,January
O00001,2025-09-29,C0633,P0973,S042,In-Store,20,209.16,0.05,3974.0,120.11,1571.8,2025,September
O00002,2024-08-29,C0653,P0659,Online,Online,2,218.6,0.1,393.48,173.17,47.14,2024,August
O00003,2025-05-13,C0753,P0666,S014,In-Store,1,78.53,0.2,62.82,65.86,-3.04,2025,May
O00004,2025-07-22,C0627,P0166,S017,In-Store,1,344.93,0.2,275.94,174.83,101.11,2025,July
O00005,2025-12-16,C0716,P0205,S018,In-Store,1,14.31,0.05,13.59,7.9,5.69,2025,December
O00006,2024-09-25,C0532,P1171,S045,In-Store,2,230.62,0.0,461.24,185.92,89.4,2024,September
O00007,2024-09-27,C0515,P0178,S043,In-Store,2,129.07,0.2,206.51,94.08,18.35,2024,September
O00008,2025-03-01,C0456,P0236,S034,In-Store,2,196.93,0.05,374.17,173.04,28.09,2025,March
O00009,2024-12-02,C0174,P0183,Online,Online,3,304.66,0.0,913.98,181.16,370.5,2024,December
O00010,2024-05-03,C0334,P0785,S014,In-Store,1,57.39,0.1,51.65,46.09,5.56,2024,May
O00011,2025-04-12,C0686,P0252,S059,In-Store,2,231.15,0.2,369.84,196.57,-23.3,2025,April
O00012,2025-11-13,C0708,P0681,S059,In-Store,1,342.55,0.0,342.55,190.14,152.41,2025,November
O00013,2025-10-05,C0386,P0781,S050,In-Store,1,153.3,0.2,122.64,99.94,22.7,2025,October
O00014,2025-11-18,C0228,P0530,Online,Online,2,274.32,0.0,548.64,147.34,253.96,2025,November
O00015,2025-05-06,C0348,P0528,S047,In-Store,2,102.08,0.0,204.16,65.43,73.3,2025,May
O00016,2024-07-16,C0130,P0641,S036,In-Store,1,240.92,0.0,240.92,123.63,117.29,2024,July
O00017,2025-01-19,C0604,P1096,Online,Online,1,214.66,0.2,171.73,109.25,62.48,2025,January
O00018,2025-03-05,C0327,P0747,S059,In-Store,1,127.24,0.05,120.88,84.49,36.39,2025,March
O00019,2024-04-28,C0616,P0255,Online,Online,10,21.15,0.2,169.2,17.85,-9.3,2024,April
O00020,2025-03-15,C0471,P0647,Online,Online,2,139.35,0.1,250.83,105.87,39.09,2025,March
O00021,2024-11-27,C0511,P0933,Online,Online,2,25.25,0.1,45.45,13.75,17.95,2024,November
O00022,2025-06-28,C0681,P0070,S019,In-Store,2,235.0,0.0,470.0,176.02,117.96,2025,June
O00023,2025-10-10,C0723,P1175,S053,In-Store,2,26.47,0.05,50.29,23.03,4.23,2025,October
O00024,2025-07-16,C0721,P0771,Online,Online,2,155.11,0.1,279.2,81.54,116.12,2025,July
O00025,2025-05-19,C0733,P0431,S059,In-Store,1,39.3,0.05,37.33,21.12,16.21,2025,May
O00026,2025-03-07,C0053,P0366,S046,In-Store,2,230.23,0.2,368.37,183.08,2.21,2025,March
O00027,2025-04-03,C0675,P0326,S035,In-Store,2,134.39,0.2,215.02,95.57,23.88,2025,April
O00028,2024-08-17,C0694,P0969,S048,In-Store,2,171.98,0.2,275.17,90.71,93.75,2024,August
O00029,2025-07-12,C0540,P0579,Online,Online,1,137.64,0.05,130.76,74.19,56.57,2025,July
O00030,2025-10-21,C0561,P0806,Online,Online,1,38.24,0.1,34.42,24.55,9.87,2025,October
O00031,2025-02-18,C0594,P0110,S045,In-Store,3,280.19,0.1,756.51,170.81,244.08,2025,February
O00032,2025-01-27,C0167,P1182,Online,Online,1,275.08,0.2,220.06,167.92,52.14,2025,January
O00033,2025-06-19,C0148,P0429,Online,Online,1,257.83,0.05,244.94,138.39,106.55,2025,June
O00034,2025-06-04,C0009,P0741,S036,In-Store,2,25.86,0.0,51.72,13.55,24.62,2025,June
O00035,2024-09-14,C0151,P0771,S027,In-Store,1,155.11,0.05,147.35,81.54,65.81,2024,September
O00036,2024-12-14,C0098,P0728,S011,In-Store,3,242.37,0.0,727.11,152.25,270.36,2024,December
O00037,2025-06-14,C0527,P0693,S009,In-Store,2,147.47,0.2,235.95,132.72,-29.49,2025,June
O00038,2025-11-26,C0121,P0493,S019,In-Store,2,178.11,0.05,338.41,108.79,120.83,2025,November
O00039,2025-08-18,C0384,P0183,S055,In-Store,1,304.66,0.2,243.73,181.16,62.57,2025,August
O00040,2024-04-19,C0668,P0911,S007,In-Store,3,298.36,0.0,895.08,154.31,432.15,2024,April
O00041,2024-12-30,C0500,P1043,Online,Online,2,321.82,0.2,514.91,198.11,118.69,2024,December
O00042,2025-01-13,C0763,P0193,S011,In-Store,1,62.96,0.2,50.37,32.26,18.11,2025,January
O00043,2025-05-28,C0660,P0888,Online,Online,2,99.91,0.05,189.83,50.37,89.09,2025,May
O00044,2024-12-09,C0065,P1100,Online,Online,1,74.54,0.0,74.54,42.65,31.89,2024,December
O00045,2025-05-10,C0549,P1085,S033,In-Store,2,42.67,0.0,85.34,36.58,12.18,2025,May
O00046,2025-02-09,C0212,P0240,Online,Online,10,85.49,0.05,812.2,52.45,287.7,2025,February
O00047,2024-08-01,C0457,P0643,Online,Online,1,252.43,0.05,239.81,137.05,102.76,2024,August
O00048,2025-08-29,C0668,P0330,Online,Online,1,355.55,0.1,320.0,189.35,130.65,2025,August
O00049,2025-05-02,C0035,P0173,S032,In-Store,3,209.18,0.1,564.79,115.36,218.71,2025,May
O00050,2024-07-13,C0557,P0351,S017,In-Store,1,170.33,0.0,170.33,106.14,64.19,2024,July
O00051,2025-07-05,C0047,P1063,S018,In-Store,3,71.55,0.2,171.72,60.93,-11.07,2025,July
O00052,2024-06-07,C0502,P0640,S022,In-Store,1,215.37,0.05,204.6,131.24,73.36,2024,June
O00053,2024-10-19,C0678,P0091,Online,Online,1,27.29,0.05,25.93,20.11,5.82,2024,October
O00054,2024-07-20,C0220,P0274,S013,In-Store,1,285.95,0.1,257.36,198.93,58.43,2024,July
O00055,2024-05-12,C0746,P0864,Online,Online,3,113.48,0.1,306.4,63.42,116.14,2024,May
O00056,2024-05-27,C0665,P0334,S005,In-Store,1,135.83,0.1,122.25,118.75,3.5,2024,May
O00057,2025-03-30,C0711,P0293,S004,In-Store,1,259.84,0.1,233.86,179.45,54.41,2025,March
O00058,2024-08-24,C0713,P0394,S036,In-Store,2,219.0,0.05,416.1,165.56,84.98,2024,August
O00059,2024-11-06,C0157,P0647,S027,In-Store,2,139.35,0.2,222.96,105.87,11.22,2024,November
O00060,2025-04-19,C0618,P0506,Online,Online,3,76.44,0.0,229.32,44.45,95.97,2025,April
O00061,2025-01-03,C0700,P1123,S021,In-Store,3,75.06,0.0,225.18,58.9,48.48,2025,January
O00062,2025-03-09,C0341,P0559,Online,Online,1,286.97,0.05,272.62,166.15,106.47,2025,March
O00063,2024-06-22,C0100,P0772,S014,In-Store,1,121.36,0.2,97.09,102.72,-5.63,2024,June
O00064,2024-08-20,C0596,P0252,Online,Online,1,231.15,0.1,208.03,196.57,11.46,2024,August
O00065,2024-07-17,C0501,P0195,S044,In-Store,2,151.18,0.1,272.12,77.35,117.42,2024,July
O00066,2024-11-01,C0622,P0202,S010,In-Store,1,218.6,0.1,196.74,119.34,77.4,2024,November
O00067,2025-02-04,C0398,P0370,S047,In-Store,1,106.39,0.2,85.11,58.2,26.91,2025,February
O00068,2025-06-12,C0130,P0530,Online,Online,2,274.32,0.05,521.21,147.34,226.53,2025,June
O00069,2025-02-13,C0146,P0775,S017,In-Store,1,22.99,0.0,22.99,12.88,10.11,2025,February
O00070,2025-02-22,C0654,P0758,S015,In-Store,2,218.78,0.2,350.05,135.84,78.37,2025,February
O00071,2024-07-12,C0187,P0898,S051,In-Store,1,204.25,0.2,163.4,167.86,-4.46,2024,July
O00072,2024-05-01,C0282,P0876,S045,In-Store,1,181.91,0.05,172.81,156.25,16.56,2024,May
O00073,2025-05-04,C0089,P0625,S020,In-Store,1,249.56,0.0,249.56,178.47,71.09,2025,May
O00074,2025-11-24,C0078,P0491,S010,In-Store,2,205.2,0.0,410.4,156.25,97.9,2025,November
O00075,2024-12-14,C0292,P1134,S051,In-Store,3,40.51,0.0,121.53,26.67,41.52,2024,December
O00076,2024-10-29,C0434,P1041,S008,In-Store,1,127.15,0.2,101.72,93.33,8.39,2024,October
O00077,2025-09-09,C0701,P1090,S025,In-Store,1,32.87,0.0,32.87,18.73,14.14,2025,September
O00078,2025-06-02,C0763,P0014,Online,In-Store,1,34.42,0.1,30.98,17.91,13.07,2025,June
O00079,2025-01-06,C0756,P1081,S002,In-Store,1,26.3,0.2,21.04,16.09,4.95,2025,January
O00080,2024-10-22,C0690,P1072,S011,In-Store,1,200.65,0.0,200.65,138.28,62.37,2024,October
O00081,2025-03-11,C0136,P1052,S003,In-Store,1,190.93,0.2,152.74,126.53,26.21,2025,March
O00082,2025-05-13,C0174,P0764,S021,In-Store,1,241.25,0.05,229.19,143.88,85.31,2025,May
O00083,2024-06-05,C0784,P0241,Online,Online,1,195.47,0.2,156.38,150.43,5.95,2024,June
O00084,2025-11-05,C0218,P0004,S036,In-Store,2,88.47,0.2,141.55,71.35,-1.15,2025,November
O00085,2025-03-15,C0312,P1055,S002,In-Store,2,200.83,0.2,321.33,115.79,89.75,2025,March
O00086,2024-06-20,C0499,P0117,S039,In-Store,1,197.56,0.2,158.05,116.12,41.93,2024,June
O00087,2024-09-12,C0362,P0219,Online,Online,2,125.63,0.05,238.7,73.95,90.8,2024,September
O00088,2025-05-31,C0009,P0207,S012,In-Store,1,176.19,0.0,176.19,97.87,78.32,2025,May
O00089,2024-05-04,C0157,P0841,Online,Online,10,101.01,0.2,808.1,53.94,268.7,2024,May
O00090,2025-09-19,C0787,P0512,Online,Online,3,258.13,0.2,619.51,140.64,197.59,2025,September
O00091,2024-08-26,C0373,P0877,S034,In-Store,3,238.06,0.1,642.76,179.66,103.78,2024,August
O00092,2025-03-01,C0449,P0899,Online,Online,1,118.47,0.1,106.62,99.65,6.97,2025,March
O00093,2025-03-18,C0005,P0735,S045,In-Store,2,196.86,0.05,374.03,158.32,57.39,2025,March
O00094,2025-11-25,C0291,P0082,Online,Online,2,177.36,0.2,283.78,136.2,11.38,2025,November
O00095,2025-02-27,C0032,P0328,S017,In-Store,1,126.04,0.2,100.83,105.42,-4.59,2025,February
O00096,2025-04-14,C0272,P0243,S035,In-Store,2,62.91,0.2,100.66,51.07,-1.48,2025,April
O00097,2025-02-15,C0731,P0260,S048,In-Store,3,116.29,0.2,279.1,104.16,-33.38,2025,February
O00098,2024-05-30,C0759,P0796,Online,Online,1,87.96,0.0,87.96,77.22,10.74,2024,May
O00099,2025-09-06,C0129,P0318,S000,In-Store,1,80.1,0.05,76.09,64.3,11.79,2025,September
O00100,2025-02-16,C0350,P0879,S047,In-Store,3,168.21,0.0,504.63,148.84,58.11,2025,February
O00101,2025-12-17,C0296,P0577,S048,In-Store,2,309.01,0.2,494.42,154.53,185.36,2025,December
O00102,2025-09-21,C0156,P1047,Online,Online,2,126.31,0.1,227.36,79.41,68.54,2025,September
O00103,2025-01-13,C0269,P0506,S027,In-Store,2,76.44,0.05,145.24,44.45,56.34,2025,January
O00104,2025-12-04,C0596,P0211,S032,In-Store,2,143.29,0.05,272.25,123.62,25.01,2025,December
O00105,2024-07-25,C0605,P0304,Online,Online,1,138.55,0.05,131.62,77.54,54.08,2024,July
O00106,2025-08-19,C0280,P0393,S027,In-Store,3,301.95,0.0,905.85,152.45,448.5,2025,August
O00107,2025-12-19,C0093,P0104,S033,In-Store,3,237.61,0.1,641.55,131.78,246.21,2025,December
O00108,2024-07-16,C0236,P0454,S030,In-Store,1,57.81,0.0,57.81,39.64,18.17,2024,July
O00109,2024-05-01,C0659,P0105,S017,In-Store,1,49.07,0.1,44.16,43.88,0.28,2024,May
O00110,2024-10-16,C0359,P0856,Online,Online,1,72.18,0.0,72.18,53.24,18.94,2024,October
O00111,2025-06-23,C0000,P0106,S020,In-Store,2,117.1,0.05,222.49,97.34,27.81,2025,June
O00112,2025-09-12,C0286,P0206,Online,In-Store,2,44.72,0.2,71.55,38.98,-6.41,2025,September
O00113,2025-05-11,C0311,P0228,Online,Online,1,59.1,0.0,59.1,35.69,23.41,2025,May
O00114,2025-03-26,C0788,P0266,S047,In-Store,3,273.92,0.1,739.58,151.72,284.42,2025,March
O00115,2025-02-03,C0603,P1083,S015,In-Store,1,186.78,0.1,168.1,140.65,27.45,2025,February
O00116,2025-09-07,C0393,P0178,S008,In-Store,2,129.07,0.0,258.14,94.08,69.98,2025,September
O00117,2025-09-09,C0670,P0390,Online,Online,1,178.02,0.2,142.42,92.46,49.96,2025,September
O00118,2025-06-14,C0076,P1119,S019,In-Store,1,64.93,0.2,51.94,51.65,0.29,2025,June
O00119,2025-08-13,C0206,P1092,S002,In-Store,1,48.28,0.05,45.87,34.56,11.31,2025,August
O00120,2024-12-29,C0563,P0517,S048,In-Store,2,203.43,0.1,366.17,172.69,20.79,2024,December
O00121,2025-03-01,C0459,P0240,S004,In-Store,1,85.49,0.2,68.39,52.45,15.94,2025,March
O00122,2024-07-03,C0515,P0044,Online,Online,1,22.6,0.1,20.34,14.78,5.56,2024,July
O00123,2025-06-24,C0132,P0593,Online,Online,2,71.58,0.0,143.16,37.74,67.68,2025,June
O00124,2024-11-16,C0710,P0389,S025,In-Store,1,277.24,0.2,221.79,154.95,66.84,2024,November
O00125,2025-05-25,C0525,P0153,Online,Online,1,56.67,0.2,45.34,28.68,16.66,2025,May
O00126,2025-04-19,C0399,P0820,S013,In-Store,30,310.73,0.05,8855.8,193.38,3054.4,2025,April
O00127,2024-08-13,C0585,P0446,S000,In-Store,3,89.71,0.2,215.3,61.91,29.57,2024,August
O00128,2024-08-16,C0737,P1075,Online,Online,1,285.01,0.05,270.76,191.46,79.3,2024,August
O00129,2025-02-24,C0274,P1130,Online,Online,2,208.54,0.05,396.23,178.82,38.59,2025,February
O00130,2024-05-03,C0243,P0597,Online,Online,1,105.66,0.05,100.38,73.49,26.89,2024,May
O00131,2025-05-15,C0284,P0272,Online,Online,2,43.92,0.0,87.84,22.88,42.08,2025,May
O00132,2025-01-28,C0254,P0430,S000,In-Store,2,126.13,0.1,227.03,78.96,69.11,2025,January
O00133,2024-04-14,C0377,P0664,Online,Online,1,191.74,0.1,172.57,109.09,63.48,2024,April
O00134,2025-01-16,C0418,P0603,S003,In-Store,1,31.8,0.0,31.8,24.75,7.05,2025,January
O00135,2024-05-07,C0224,P0572,Online,Online,1,271.22,0.0,271.22,177.14,94.08,2024,May
O00136,2025-04-28,C0796,P1194,Online,Online,1,50.75,0.2,40.6,33.5,7.1,2025,April
O00137,2025-01-10,C0263,P1128,Online,Online,1,153.7,0.2,122.96,86.72,36.24,2025,January
O00138,2025-12-25,C0275,P0417,S051,In-Store,1,56.54,0.2,45.23,43.26,1.97,2025,December
O00139,2025-01-17,C0237,P0888,S057,In-Store,1,99.91,0.2,79.93,50.37,29.56,2025,January
O00140,2024-10-05,C0185,P0940,Online,Online,2,21.41,0.05,40.68,16.72,7.24,2024,October
O00141,2025-07-10,C0502,P0369,S001,In-Store,3,314.41,0.1,848.91,197.87,255.3,2025,July
O00142,2024-06-01,C0181,P0807,S012,In-Store,1,135.25,0.0,135.25,80.88,54.37,2024,June
O00143,2024-04-23,C0436,P0502,S041,In-Store,2,256.28,0.2,410.05,165.85,78.35,2024,April
O00144,2024-05-03,C0539,P0281,S051,In-Store,2,197.67,0.0,395.34,145.12,105.1,2024,May
O00145,2025-03-22,C0386,P0786,Online,Online,2,21.67,0.0,43.34,13.41,16.52,2025,March
O00146,2025-10-21,C0659,P0089,Online,Online,2,229.1,0.0,458.2,150.01,158.18,2025,October
O00147,2024-12-24,C0642,P0027,S000,In-Store,2,236.79,0.0,473.58,189.64,94.3,2024,December
O00148,2025-05-22,C0346,P0174,Online,Online,2,178.88,0.2,286.21,123.85,38.51,2025,May
O00149,2024-06-14,C0454,P0334,S030,In-Store,1,135.83,0.05,129.04,118.75,10.29,2024,June
O00150,2024-06-30,C0556,P0547,S007,In-Store,2,235.33,0.0,470.66,147.83,175.0,2024,June
O00151,2025-01-27,C0105,P1115,Online,Online,2,265.8,0.2,425.28,159.26,106.76,2025,January
O00152,2025-02-18,C0229,P0049,Online,Online,1,186.29,0.2,149.03,135.98,13.05,2025,February
O00153,2025-04-28,C0671,P0587,Online,Online,2,78.06,0.2,124.9,63.84,-2.78,2025,April
O00154,2025-06-27,C0732,P0230,S007,In-Store,2,73.43,0.05,139.52,47.04,45.44,2025,June
O00155,2024-09-26,C0288,P0731,Online,Online,1,138.18,0.1,124.36,113.54,10.82,2024,September
O00156,2025-01-29,C0086,P0088,S011,In-Store,3,361.93,0.2,868.63,190.26,297.85,2025,January
O00157,2024-06-09,C0614,P0371,S009,In-Store,4,229.56,0.1,826.42,131.42,300.74,2024,June
O00158,2025-09-03,C0293,P0713,S017,In-Store,1,175.75,0.2,140.6,139.9,0.7,2025,September
